ISIN ;CF;DATE
VEB062016;103,4325;17/06/2016
VEB082017;3,66;13/05/2016
VEB082017;3,66;12/08/2016
VEB082017;3,66;11/11/2016
VEB082017;3,66;10/02/2017
VEB082017;3,66;12/05/2017
VEB082017;103,66;11/08/2017
TIF042018;4,5;14/04/2016
TIF042018;4,5;14/07/2016
TIF042018;4,5;13/10/2016
TIF042018;4,5;12/01/2017
TIF042018;4,5;13/04/2017
TIF042018;4,5;13/07/2017
TIF042018;4,5;12/10/2017
TIF042018;4,5;11/01/2018
TIF042018;104,5;12/04/2018
VEB032019;3,855;30/06/2016
VEB032019;3,855;29/09/2016
VEB032019;3,855;29/12/2016
VEB032019;3,855;30/03/2017
VEB032019;3,855;29/06/2017
VEB032019;3,855;28/09/2017
VEB032019;3,855;28/12/2017
VEB032019;3,855;29/03/2018
VEB032019;3,855;28/06/2018
VEB032019;3,855;27/09/2018
VEB032019;3,855;27/12/2018
VEB032019;103,855;28/03/2019
VEB062020;3,925;23/06/2016
VEB062020;3,925;22/09/2016
VEB062020;3,925;22/12/2016
VEB062020;3,925;23/03/2017
VEB062020;3,925;22/06/2017
VEB062020;3,925;21/09/2017
VEB062020;3,925;21/12/2017
VEB062020;3,925;22/03/2018
VEB062020;3,925;21/06/2018
VEB062020;3,925;20/09/2018
VEB062020;3,925;20/12/2018
VEB062020;3,925;21/03/2019
VEB062020;3,925;20/06/2019
VEB062020;3,925;19/09/2019
VEB062020;3,925;19/12/2019
VEB062020;3,925;19/03/2020
VEB062020;103,925;18/06/2020
TIF022021;4,125;12/05/2016
TIF022021;4,125;11/08/2016
TIF022021;4,125;10/11/2016
TIF022021;4,125;09/02/2017
TIF022021;4,125;11/05/2017
TIF022021;4,125;10/08/2017
TIF022021;4,125;09/11/2017
TIF022021;4,125;08/02/2018
TIF022021;4,125;10/05/2018
TIF022021;4,125;09/08/2018
TIF022021;4,125;08/11/2018
TIF022021;4,125;07/02/2019
TIF022021;4,125;09/05/2019
TIF022021;4,125;08/08/2019
TIF022021;4,125;07/11/2019
TIF022021;4,125;06/02/2020
TIF022021;4,125;07/05/2020
TIF022021;4,125;06/08/2020
TIF022021;4,125;05/11/2020
TIF022021;104,125;04/02/2021
VEB022022;3,9025;19/05/2016
VEB022022;3,9025;18/08/2016
VEB022022;3,9025;17/11/2016
VEB022022;3,9025;16/02/2017
VEB022022;3,9025;18/05/2017
VEB022022;3,9025;17/08/2017
VEB022022;3,9025;16/11/2017
VEB022022;3,9025;15/02/2018
VEB022022;3,9025;17/05/2018
VEB022022;3,9025;16/08/2018
VEB022022;3,9025;15/11/2018
VEB022022;3,9025;14/02/2019
VEB022022;3,9025;16/05/2019
VEB022022;3,9025;15/08/2019
VEB022022;3,9025;14/11/2019
VEB022022;3,9025;13/02/2020
VEB022022;3,9025;14/05/2020
VEB022022;3,9025;13/08/2020
VEB022022;3,9025;12/11/2020
VEB022022;3,9025;11/02/2021
VEB022022;3,9025;13/05/2021
VEB022022;3,9025;12/08/2021
VEB022022;3,9025;11/11/2021
VEB022022;103,9025;10/02/2022
TIF032022;4;09/06/2016
TIF032022;4;08/09/2016
TIF032022;4;08/12/2016
TIF032022;4;09/03/2017
TIF032022;4;08/06/2017
TIF032022;4;07/09/2017
TIF032022;4;07/12/2017
TIF032022;4;08/03/2018
TIF032022;4;07/06/2018
TIF032022;4;06/09/2018
TIF032022;4;06/12/2018
TIF032022;4;07/03/2019
TIF032022;4;06/06/2019
TIF032022;4;05/09/2019
TIF032022;4;05/12/2019
TIF032022;4;05/03/2020
TIF032022;4;04/06/2020
TIF032022;4;03/09/2020
TIF032022;4;03/12/2020
TIF032022;4;04/03/2021
TIF032022;4;03/06/2021
TIF032022;4;02/09/2021
TIF032022;4;02/12/2021
TIF032022;104;03/03/2022
VEB012023;3,98;28/04/2016
VEB012023;3,98;28/07/2016
VEB012023;3,98;27/10/2016
VEB012023;3,98;26/01/2017
VEB012023;3,98;27/04/2017
VEB012023;3,98;27/07/2017
VEB012023;3,98;26/10/2017
VEB012023;3,98;25/01/2018
VEB012023;3,98;26/04/2018
VEB012023;3,98;26/07/2018
VEB012023;3,98;25/10/2018
VEB012023;3,98;24/01/2019
VEB012023;3,98;25/04/2019
VEB012023;3,98;25/07/2019
VEB012023;3,98;24/10/2019
VEB012023;3,98;23/01/2020
VEB012023;3,98;23/04/2020
VEB012023;3,98;23/07/2020
VEB012023;3,98;22/10/2020
VEB012023;3,98;21/01/2021
VEB012023;3,98;22/04/2021
VEB012023;3,98;22/07/2021
VEB012023;3,98;21/10/2021
VEB012023;3,98;20/01/2022
VEB012023;3,98;21/04/2022
VEB012023;3,98;21/07/2022
VEB012023;3,98;20/10/2022
VEB012023;103,98;19/01/2023
TIF042023;4;14/04/2016
TIF042023;4;14/07/2016
TIF042023;4;13/10/2016
TIF042023;4;12/01/2017
TIF042023;4;13/04/2017
TIF042023;4;13/07/2017
TIF042023;4;12/10/2017
TIF042023;4;11/01/2018
TIF042023;4;12/04/2018
TIF042023;4;12/07/2018
TIF042023;4;11/10/2018
TIF042023;4;10/01/2019
TIF042023;4;11/04/2019
TIF042023;4;11/07/2019
