ISIN;CF ;DATE
LT0616;100,00;08/06/2016
VEB112017;3,65;26/05/2016
VEB112017;3,65;25/08/2016
VEB112017;3,65;24/11/2016
VEB112017;3,65;23/02/2017
VEB112017;3,65;25/05/2017
VEB112017;3,65;24/08/2017
VEB112017;103,65;23/11/2017
VEB122017;3,64;24/08/2017
VEB122017;3,64;25/05/2017
VEB122017;3,64;23/02/2017
VEB122017;3,64;24/11/2016
VEB122017;3,64;25/08/2016
VEB122017;3,64;26/05/2016
VEB122017;103,64;08/12/2017
TIF042018;4,50;08/09/2017
TIF042018;4,50;09/06/2017
TIF042018;4,50;10/03/2017
TIF042018;4,50;09/12/2016
TIF042018;4,50;09/09/2016
TIF042018;4,50;10/06/2016
TIF042018;4,50;11/03/2016
TIF042018;4,50;11/12/2015
TIF042018;104,50;12/04/2018
VEB032019;3,86;30/06/2016
VEB032019;3,86;29/09/2016
VEB032019;3,86;29/12/2016
VEB032019;3,86;30/03/2017
VEB032019;3,86;29/06/2017
VEB032019;3,86;28/09/2017
VEB032019;3,86;28/12/2017
VEB032019;3,86;29/03/2018
VEB032019;3,86;28/06/2018
VEB032019;3,86;27/09/2018
VEB032019;3,86;27/12/2018
VEB032019;103,86;28/03/2019
VEB042019;3,86;21/04/2016
VEB042019;3,86;21/07/2016
VEB042019;3,86;20/10/2016
VEB042019;3,86;19/01/2017
VEB042019;3,86;20/04/2017
VEB042019;3,86;20/07/2017
VEB042019;3,86;19/10/2017
VEB042019;3,86;18/01/2018
VEB042019;3,86;19/04/2018
VEB042019;3,86;19/07/2018
VEB042019;3,86;18/10/2018
VEB042019;3,86;17/01/2019
VEB042019;103,86;18/04/2019
VEB012020;3,92;07/04/2016
VEB012020;3,92;07/07/2016
VEB012020;3,92;06/10/2016
VEB012020;3,92;05/01/2017
VEB012020;3,92;06/04/2017
VEB012020;3,92;06/07/2017
VEB012020;3,92;05/10/2017
VEB012020;3,92;04/01/2018
VEB012020;3,92;05/04/2018
VEB012020;3,92;05/07/2018
VEB012020;3,92;04/10/2018
VEB012020;3,92;03/01/2019
VEB012020;3,92;04/04/2019
VEB012020;3,92;04/07/2019
VEB012020;3,92;03/10/2019
VEB012020;103,92;02/01/2020
VEB062020;3,93;23/06/2016
VEB062020;3,93;22/09/2016
VEB062020;3,93;22/12/2016
VEB062020;3,93;23/03/2017
VEB062020;3,93;22/06/2017
VEB062020;3,93;21/09/2017
VEB062020;3,93;21/12/2017
VEB062020;3,93;22/03/2018
VEB062020;3,93;21/06/2018
VEB062020;3,93;20/09/2018
