ISIN ;MATURITYDATE;ISSUEDATE;YIELDYTM;COUPONRATE;PRICE;ACCRUED;TODAY
VEB062016;17/06/2016;11/01/2011;0,0821;0,0343;101,7881;0,1223;31/03/2016
VEB082017;11/08/2017;11/01/2011;0,0503;0,0366;113,5000;0,4813;
TIF042018;12/04/2018;11/01/2012;0,0577;0,0450;124,5313;0,9493;
VEB032019;28/03/2019;11/01/2012;0,0500;0,0386;128,9572;0,0000;
VEB062020;18/06/2020;11/01/2012;0,0818;0,0393;125,9000;0,0753;
TIF022021;04/02/2021;08/01/2013;0,0849;0,0413;132,0000;0,5538;
VEB022022;10/02/2022;08/01/2013;0,0978;0,0390;126,0000;0,4491;
TIF032022;03/03/2022;08/01/2013;0,0997;0,0400;127,0000;0,2301;
VEB012023;19/01/2023;08/01/2013;0,1034;0,0398;127,0000;0,6870;
TIF042023;06/04/2023;08/01/2013;0,1036;0,0400;128,1500;0,8438;
VEB022024;22/02/2024;29/01/2014;0,1094;0,0407;126,7500;0,3122;
VEB042024;18/04/2024;08/01/2013;0,1104;0,0404;127,2500;0,6977;
VEB012025;09/01/2025;15/08/2013;0,1116;0,0411;127,9012;0,7873;
TIF012026;08/01/2026;29/01/2014;0,1115;0,0375;126,5500;0,7192;
TIF032028;30/03/2028;24/02/2015;0,1148;0,0381;128,5000;0,8043;
TIF022029;15/02/2029;24/02/2015;0,1117;0,0388;131,7341;0,2973;
TIF022030;28/02/2030;24/02/2015;0,1136;0,0391;129,8875;0,1501;
TIF032031;13/03/2031;28/01/2016;0,1365;0,0375;104,7394;0,0000;
TIF032032;25/03/2032;28/01/2016;0,1399;0,0381;103,3216;0,8043;
